Name,DriveCount,ControllerCount,DVDLetter,Drive0,Drive0Letter,Drive0Name,Drive0Minimum,Drive0Persistence,Drive0StorageFormat,Drive0Controller,Drive0FileSystem,Drive0AllocationUnitSize,Drive1,Drive1Letter,Drive1Name,Drive1Minimum,Drive1Persistence,Drive1StorageFormat,Drive1Controller,Drive1ControllerScsiID,Drive1FileSystem,Drive1AllocationUnitSize,Drive2,Drive2Letter,Drive2Name,Drive2Minimum,Drive2Persistence,Drive2StorageFormat,Drive2Controller,Drive2ControllerScsiID,Drive2FileSystem,Drive2AllocationUnitSize,Drive3,Drive3Letter,Drive3Name,Drive3Minimum,Drive3Persistence,Drive3StorageFormat,Drive3Controller,Drive3ControllerScsiID,Drive3FileSystem,Drive3AllocationUnitSize,Drive4,Drive4Letter,Drive4Name,Drive4Minimum,Drive4Persistence,Drive4StorageFormat,Drive4Controller,Drive4ControllerScsiID,Drive4FileSystem,Drive4AllocationUnitSize,Drive5,Drive5Letter,Drive5Name,Drive5Minimum,Drive5Persistence,Drive5StorageFormat,Drive5Controller,Drive5ControllerScsiID,Drive5FileSystem,Drive5AllocationUnitSize
Unmodified,1,0,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Generic1,1,0,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Generic2,2,1,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,TRUE,D,DATA,5,Persistent,Thick,1,0,NTFS,4096,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Generic3,3,2,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,TRUE,D,DATA,5,Persistent,Thick,1,0,NTFS,4096,TRUE,F,DATA,5,,Thick,2,0,NTFS,4096,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Generic4,4,3,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,TRUE,D,DATA,5,Persistent,Thick,1,0,NTFS,4096,TRUE,F,DATA,5,,Thick,2,0,NTFS,4096,TRUE,G,DATA,5,Persistent,Thick,3,0,NTFS,4096,FALSE,,,,,,,,,,FALSE,,,,,,,,,
Generic5,5,3,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,TRUE,D,DATA,5,Persistent,Thick,1,0,NTFS,4096,TRUE,F,DATA,5,,Thick,2,0,NTFS,4096,TRUE,G,DATA,5,Persistent,Thick,3,0,NTFS,4096,TRUE,H,DATA,5,Persistent,Thick,3,1,NTFS,4096,FALSE,,,,,,,,,
IIS,2,1,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,TRUE,D,IIS,20,Persistent,Thick,1,0,NTFS,4096,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
SQL,6,3,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,TRUE,D,Program Files,40,Persistent,Thick,0,1,NTFS,4096,TRUE,T,TempDB,20,IndependentPersistent,Thick,1,0,NTFS,65536,TRUE,U,TempDB Log,10,IndependentPersistent,Thick,2,0,NTFS,65536,TRUE,M,MiscDB,4,IndependentPersistent,Thick,3,0,NTFS,65536,TRUE,L,Logs,1,IndependentPersistent,Thick,3,1,NTFS,65536
EXTAPPS,2,1,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,TRUE,D,DATA,10,Persistent,Thick,1,0,NTFS,4096,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
File Server,2,1,E,TRUE,C,OS,60,Persistent,Thick,0,NTFS,4096,TRUE,D,DATA,5,Persistent,Thick,1,0,NTFS,4096,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,
